Title,Url,Date,Author,Category,Text
"FPIs net sellers at Rs 6,834 cr in Feb so far",https://www.dailypioneer.com/2022/business/fpis-net-sellers-at-rs-6-834-cr-in-feb-so-far.html,"Sunday, 06 February 2022",PTI,Business,"Foreign portfolio investors (FPIs) pulled out as much as Rs 6,834 crore from Indian markets in the first four trading sessions of February.
As per depositories data, FPIs took out Rs 3,627 crore from equities, Rs 3,173 crore from debt segment and Rs 34 crore from hybrid instruments.
Previously, FPIs have been net sellers for fourth consecutive months.
""FPIs have sharply increased the pace of selling after the US Fed announcement last week in which it indicated an end of the ultra-loose monetary policy regime,"" said Himanshu Srivastava, Associate Director - Manager Research, Morningstar India.
Besides, globally, the bond yields have surged in the recent times on expectation of a hike in interest rates by the US Fed, he added.
This has made investors risk averse prompting them to cut exposure in riskier assets and move towards safe havens such as gold.
""On the domestic front, the pro-growth budget did manage to check the exodus of funds to some extent. However, the wider effect of budget on foreign flows would be clear in the coming weeks,"" he further added.
Despite the recent correction in the markets, Indian equities continue to tread at elevated levels.
With current global backdrop, FIIs have been moving out to the markets which have rich valuations and investing in the ones offering relatively attractive valuation and better risk-reward, as per Srivastava.
""FPIs sold heavily in banks and IT and were buyers in metals,"" noted V K Vijayakumar, Chief Investment Strategist at Geojit Financial Services.
For the future of FPI investment, Shrikant Chouhan, Head - Equity Research (Retail), Kotak Securities said ""equity markets is expected to remain volatile, given the high inflation and Fed's expected to increase the interest rate in the coming month... With higher inflation and rising bond yields, FPI flows in India are likely to remain volatile."""
Mcap of eight of top-10 most valued firms jumps over Rs 1.51 lakh cr,https://www.dailypioneer.com/2022/business/mcap-of-eight-of-top-10-most-valued-firms-jumps-over-rs-1-51-lakh-cr.html,"Sunday, 06 February 2022",PTI,Business,"Eight of the top-10 most valued firms together added Rs 1,51,456.45 crore in market valuation last week, with Tata Consultancy Services (TCS) emerging as the biggest gainer.
Last week, the 30-share BSE Sensex gained 1,444.59 points or 2.52 per cent.
On the top 10 chart, Reliance Industries Ltd (RIL) and HDFC were the only two companies that saw an erosion in their market valuation.
The market valuation of TCS jumped Rs 46,016.2 crore to reach Rs 14,11,058.63 crore.
HDFC Bank's valuation zoomed Rs 33,861.41 crore to Rs 8,44,922.53 crore.
Infosys added Rs 23,425.29 crore, taking its valuation to Rs 7,32,177.06 crore.
The market capitalisation (mcap) of Bajaj Finance gained Rs 17,226.59 crore  to Rs 4,31,926.08 crore and that of ICICI Bank went higher by Rs 16,601.55 crore to Rs 5,59,009.41 crore.
The valuation of State Bank of India (SBI) grew by Rs 6,113.36 crore to Rs 4,73,182.90 crore and that of Hindustan Unilever Ltd (HUL) jumped Rs 5,850.48 crore to Rs 5,42,262.17 crore.
Bharti Airtel added Rs 2,361.57 crore to Rs 3,95,535.80 crore in its valuation.
In contrast, the market valuation of HDFC diminished by Rs 2,870.45 crore to Rs 4,53,231.97 crore and that of RIL dipped by Rs 2,396.57 crore to Rs 15,77,382.90 crore.
In the ranking of top-10 firms, RIL remained the most valued firm followed by TCS, HDFC Bank, Infosys, ICICI Bank, HUL, SBI, HDFC, Bajaj Finance and  Bharti Airtel.
 "
"If cos have views on Chairperson, MD posts separation, Sebi should hear them: FM",https://www.dailypioneer.com/2022/business/if-cos-have-views-on-chairperson--md-posts-separation--sebi-should-hear-them--fm.html,"Sunday, 06 February 2022",PTI,Business," As Sebi plans to implement norms for separation of posts of Chairperson and MD of listed companies, Finance Minister Nirmala Sitharaman on Saturday said the regulator should also hear if Indian companies have a view on the matter even as she made it clear that she was not ""giving a diktat"".
The Securities and Exchange Board of India (Sebi) has asked listed entities to split the roles of chairperson and managing director before the April 2022 deadline.
It is to be noted that financial sector regulator Reserve Bank of India (RBI) has implemented this in the banking sector a few years ago.           Listed entities were initially required to separate the roles of chairperson and MD/CEO from April 1, 2020 onwards. However, based on industry representations, an additional time period of two years was given for compliance.
On issue of split of CMD position, Sitharaman said, ""I had reviewed it with Sebi. Some good number of companies has followed it...This norm was brought in by Sebi four years ago.    It was one of the global best practices and introduced with the aim of moving towards best practices so that companies are professionally run, she said.
""But I do agree that the way Indian companies are run and built over the decade and over century also depends so much on the family and related members being on the board.
""So, I am of the view that Sebi— which is an independent regulator...I am not giving them diktat — I am voicing my view— I think if Indian companies have a view then Sebi should also hear them. I will leave it there and I hope that it indicates where I am coming from. This should be giving you some breath of fresh air and moment to heave a sigh of relief. So let's see and I will leave it there,"" she said.
At the end of December 2020, 53 per cent of the top 500 listed entities had complied with this provision.              Currently, many companies have merged the two posts as CMD (chairman-cum-managing director), leading to some overlapping of the board and management, which could lead to conflict of interest and consequently the regulator in May 2018, came out with its norms to split the post.
The norms were part of the series of recommendations given by the Sebi-appointed Uday Kotak committee on corporate governance.
On the scrappage policy, Revenue Secretary Tarun Bajaj said, there should be some concrete action on that in the next few months.               Prime Minister Narendra Modi in August 2021 launched the national vehicle scrappage policy and had said it will help phase out unfit and polluting vehicles and also promote a circular economy.                 "
Budget 2023 more directional with long-term growth: Goyal,https://www.dailypioneer.com/2022/business/budget-2023-more-directional-with-long-term-growth--goyal.html,"Sunday, 06 February 2022",Agencies,Business,"Stating that the budget 2023 is more directional with a quarter of a century of sustained growth in mind, Commerce and Industry minister Piyush Goyal on Saturday sought to deflect criticism in certain quarters that the government focused more on the supply-side than on growth-boosting demand side of the economy. 
 On February 1, the government presented a budget with no tax increases and thus no new revenue generation measures but chose to do record borrowings to fund a budgeted 35 per cent increased capital investment at ` 7.5 lakh crore and also offered an additional ` 1 lakh crore to the states for capital investment in interest-free loans.
Together with the states, the overall capital expenditure next fiscal will be at a record high of Rs 10.5 lakh crore.
This will have the government borrowing hitting a historic high with gross borrowing at `14.95 lakh crore and net borrowing of `11.6 lakh crore.
 Demand has been the biggest missing link in the economy even before the pandemic hit the nation and scuppered the last strain of demand as those who had money chose to save and not splurge while tens of millions became jobless."
FM exhorts India Inc to open up their purse for sustained growth,https://www.dailypioneer.com/2022/business/fm-exhorts-india-inc-to-open-up-their-purse-for-sustained-growth.html,"Sunday, 06 February 2022",PTI,Business,"Finance Minister Nirmala Sitharaman on Saturday exhorted India Inc to take advantage of announcements made in Budget and ""quickly"" step up capex so that the virtuous cycle of investment gathers momentum.
Addressing members of CII, she said increase in capex in the Budget was done with twin objectives of supporting sustained growth and crowd in private investment.
 She asserted that this is the right time for investment and industry should not lose this opportunity. 
""Post the pandemic with all the reshuffling happening, reset happening in the ways in which you do your business and also with that step of October 2019 in which that one condition was please start reducing by March 2023 is also now extended by one more year,"" she said.
 The Budget 2022-23 presented on February 1 proposed that the concessional 15 per cent corporate tax rate would be available for one more year till March 2024 for newly incorporated manufacturing units.
 The Government in September 2019 slashed corporate tax rate for  companies that do not avail of any tax incentive, to 22 per cent.  New manufacturing companies have to pay at an even lower corporate  tax rate of 15 per cent.
 The Government slashed corporate tax rate to provide incentive for the private sector to ramp up investment which was muted for last few years. However, this got further aggravated with the outbreak of the COVID-19 pandemic.
 Stressing that many sectors have been opened up, she said, there are immense opportunities in the sunrise sectors and New Age sectors like bulk drugs vaccines, and genome.
 ""Do sit back and calmly take a call. India needs all the expansion in capacity and it is that which is going to kick off the virtuous cycle.
 ""I would just want to green flag those areas before you and call upon the industry to quickly join and help the virtuous cycle to gain traction. The government has not given up its investment in infrastructure and that's going to have a bearing on the core industries directly and soon,"" she said.
 The government has hiked public investment by as much as 35.4 per cent to `7.5 lakh crore or 2.9 per cent of the GDP in the Budget 2023-24.
 She urged industry not to lose this opportunity for India to reach a higher level of industrialization and manufacturing in India.     The global arena is getting opened up where global value chains are not going to be concentrated in one geography but are relocating to countries with rule of law and English speaking people.
 ""India fits into that very well and industry should take advantage of this global shift,"" she added.
 Speaking on the issue of rural distress, she said, that the same was being addressed in multiple ways. The budget has enabled access to tractors and other farm equipment through rentals as well as making credit available.
 The government has ensured availability of nutrients and fertilisers at affordable prices, despite the increase in global prices, she said, adding, multiple welfare schemes have provided support for housing, cooking gas, electricity, healthcare etc.       "
SBI Q3FY22 YoY net profit up 62% at over Rs 8k cr,https://www.dailypioneer.com/2022/business/sbi-q3fy22-yoy-net-profit-up-62--at-over-rs-8k-cr.html,"Saturday, 05 February 2022",IANS,Business,"Lending major State Bank of India (SBI) on Saturday reported its highest quarterly net profit at Rs 8,432 crore in Q3FY22.

Accordingly, the net profit represents an increase of 62.27 per cent rise on YoY basis.

The bank had reported a net profit of Rs 5,196 crore during the corresponding period of the previous fiscal.

Besides, the lending major's net interest income grew by 6.48 per cent to Rs 30,687 crore during the quarter ended December 31, 2021, compared to Rs 28,820 crore in the corresponding period of the previous fiscal.

Furthermore, the bank's 'Gross NPA' ratio stood at 4.50 per cent, down by 94 bps on a YoY basis.

The 'Net NPA' ratio stood at 1.34 per cent, down by 47 bps YoY, taking into ""consideration proforma NPAs as on December 2020"".

""On an unadjusted basis,AGross NPA ratio is down by 27 bps YoY while Net NPA ratio is up by 11 bps YoY,"" the bank said.

In addition, its Provision Coverage Ratio' (PCR) as at the end of Q3FY22 stood at 88.32 per cent."
"Equities steady in morning session, ONGC top gainer",https://www.dailypioneer.com/2022/business/equities-steady-in-morning-session--ongc-top-gainer.html,"Friday, 04 February 2022",IANS,Business,"After a sharp fall during the previous session, the Indian equities traded steady in early trade on Friday.

Thursday's decline was due to profit booking by investors after sizable gains earlier in the week.

At 09.37 a.m., Sensex traded at 58,790 points, Nifty at 17,565 points, both largely steady from the previous close.

The ONGC, Tata Steel, Hindalo, JSW Steel, and Grasim Industries were among the top gainers, while Titan, Hero Motocorp, Tata Consumers, Eicher Motors, and Bajaj Auto were the top losers, NSE data showed.

""The best short-term strategy under these uncertain and volatile times is to wait and watch for clarity to emerge. Also, dips can be used to buy high quality stocks with earnings visibility across sectors, preferably financials and IT,"" said V.K. Vijayakumar, Chief Investment Strategist at Geojit Financial Services."
RBI may hike reverse repo rate by 0.25 pc in next week's policy: Report,https://www.dailypioneer.com/2022/business/rbi-may-hike-reverse-repo-rate-by-0-25-pc-in-next-week-s-policy--report.html,"Friday, 04 February 2022",PTI,Business,"The Monetary Policy Committee (MPC) may go for a hike of up to 0.25 per cent in the reverse repo rate at which the RBI absorbs excess liquidity and leave the repo rate at which it lends, to narrow the policy rate corridor, a British brokerage said on Thursday.
""Growth concerns amid spread of the Omicron variant and relatively benign inflation out-turns provide the RBI with enough room to maintain its growth-supportive monetary policies,"" analysts at Barclays said, ahead of the resolution announcement next week.
The RBI will hike the reverse repo rate by 0.20-0.25 per cent, given its liquidity management actions, it said.
The brokerage joins a growing list of watchers expecting a reverse repo hike. Other analysts also blame the surprising hike in the government borrowing announced in the budget for the RBI's likely call for policy normalisation.
Barclays said the budget's focus on capital expenditure is expected to provide a back-loaded fiscal impulse to the economy and does not change the macro backdrop, which includes concerns on inflation.
On the surging global oil prices, which generally play into domestic inflation through corresponding price hikes of fuels locally, the brokerage said the inflationary pressures are unlikely to rise before the state elections finish by March, hinting of no pass-through.
Even though the inflation is benign lately, the RBI needs to be vigilant, it said, pointing to its own forecasts suggesting the headline number staying in the upper end of the 2-6 per cent band and also the crude prices moving higher.
It said till now, the liquidity signals from the RBI have been mixed, which have included shelving of the bond purchasing programme GSAP, an increase in both the quantum and cut-offs for voluntary reverse repo rate auctions and some bond sales in the secondary market last month.
               "
India's services sector activity slips further in Jan,https://www.dailypioneer.com/2022/business/india-s-services-sector-activity-slips-further-in-jan.html,"Friday, 04 February 2022",PTI,Business,"India's services sector activity moderated further in January as new business rose at a noticeably slower rate amid the escalation of the pandemic, reintroduction of restrictions and inflationary pressures, a monthly survey said on Thursday.
The seasonally adjusted India Services Business Activity Index fell to 51.5 in January, down from 55.5 in December, pointing to the slowest rate of expansion in the current six-month sequence of growth.
For the sixth straight month, the services sector witnessed an expansion in output. In Purchasing Managers' Index (PMI) parlance, a print above 50 means expansion, while a score below 50 denotes contraction.
According to survey participants, demand was restricted by the fast spread of the Omicron variant and the reinstatement of curfews in parts of the country.
""The escalation of the pandemic and reintroduction of curfews had a detrimental impact on growth across the service sector. Both new business and output rose at slight rates that were the weakest in six months,"" Pollyanna De Lima, Economics Associate Director at IHS Markit, said.
Companies became increasingly worried that growth would be harmed by the intensification of the pandemic, reintroduction of restrictions and inflationary pressures. Business sentiment remained positive but slipped to a six-month low.
""Concerns about how long the current wave of COVID-19 will last dampened business confidence and caused job shedding. Firms were also alarmed about price pressures,"" Lima noted.
Service sector jobs declined for the second month running during January, owing to reduced output requirements among some businesses and future uncertainty.
Meanwhile, the Composite PMI Output Index -- which measures combined services and manufacturing output -- fell from 56.4 in December to 53.0 in January, signalling the slowest rate of expansion in the current six-month period of growth. Services activity and manufacturing production increased at weaker rates.
The January data pointed to a second successive monthly drop in private sector employment. Despite being modest, the rate of job shedding accelerated from December, the survey said.
On the price front, the January data pointed to a stronger increase in expenses among service providers, with the overall rate of inflation climbing to its highest since December 2011. Survey members said there were higher food, fuel, material, staff and transportation costs.
""The latest PMI results brought worrying news as input prices increased at the sharpest rate in over a decade. Charges rose at a faster pace as some firms continued to transfer additional cost burdens to consumers, but the rate of inflation here was moderate as the vast majority of monitored companies left their fees unchanged since December,"" Lima said. Meanwhile, the monetary policy committee of the Reserve Bank of India (RBI) is slated to announce its policy on February 9.
Union Finance Minister Nirmala Sitharaman during her Budget speech on February 1, announced that the government will borrow about Rs 11.6 lakh crore from the market in 2022-23 to meet its expenditure requirement.
The country's fiscal deficit is projected to be higher at 6.9 per cent this fiscal as against 6.8 per cent estimated earlier, Sitharaman said.              "
"Markets snap 3-day rally as profit-booking hammers IT, finance stocks",https://www.dailypioneer.com/2022/business/markets-snap-3-day-rally-as-profit-booking-hammers-it--finance-stocks.html,"Friday, 04 February 2022",PTI,Business,"The Sensex and Nifty buckled under heavy selling pressure on Thursday as investors pocketed gains in IT, finance and bank stocks after three sessions of robust gains.
Nervousness in European markets ahead of central bank meetings coupled with lacklustre macroeconomic data back home also sapped risk appetite, traders said.
The 30-share BSE Sensex plunged 770.31 points or 1.29 per cent to finish at 58,788.02. Similarly, the broader NSE Nifty lost 219.80 points or 1.24 per cent to close at 17,560.20.
HDFC was the top laggard among the Sensex constituents, tumbling 3.23 per cent, followed by Infosys, L&T, Bajaj Finserv, Bajaj Finance, Tech Mahindra and Kotak Bank.
Only five counters closed in the green -- ITC, Maruti, Titan, SBI, and Asian Paints, advancing up to 1.14 per cent.
On the macroeconomic front, India's services sector activity moderated further in January as new business rose at a noticeably slower rate amid the escalation of the pandemic, reintroduction of restrictions and inflationary pressures, a monthly survey showed.
The seasonally adjusted India Services Business Activity Index fell to 51.5 in January, from 55.5 in December, pointing to the slowest rate of expansion in the current six-month sequence of growth.
""The domestic market extended its losses following broad-based selling as global cues turned in favour of bears. All major sectors succumbed to selling while Auto stocks showed some resistance on the back of sequential growth in auto sales numbers during January. 
""US futures were under pressure following weak earnings numbers reported by Meta (Facebook) while European markets fretted about monetary policy tightening ahead of the central bank policy announcement,"" said Vinod Nair, Head of Research at Geojit Financial Services. 
Ajit Mishra, VP - Research, Religare Broking, said, ""Markets have been experiencing volatile swings despite the positive bias and we expect this trend to continue... (amid) choppy global markets and prevailing earnings season.""
Barring auto and consumer durables, all BSE sectoral indices closed with losses, led by IT, teck, realty, finance, power and energy.
The BSE mid-cap and small-cap gauges shed up to 0.90 per cent.
Global markets slipped ahead of policy meetings of the European Central Bank (ECB) and the Bank of England (BoE) amid fears of rate hikes to control inflation.
In other Asian markets, Tokyo closed in the red, while Seoul was positive.
Several Asian markets, including China and Hong Kong, were shut for the Lunar New Year holidays.
Stock exchanges in Europe were mostly trading in the negative zone in the afternoon session.
International oil benchmark Brent crude slipped 0.65 per cent to USD 88.89 per barrel.
               "
